date,league,home_team,away_team,score
2014-09-20,Bundesliga,Paderborn 07,Hannover 96,2–0
2014-09-20,Bundesliga,Augsburg,Werder Bremen,4–2
2014-09-20,Bundesliga,Mainz 05,Dortmund,2–0
2014-09-21,Bundesliga,Wolfsburg,Leverkusen,4–1
2014-09-21,Bundesliga,Köln,Gladbach,0–0
2014-09-23,Bundesliga,Eint Frankfurt,Mainz 05,2–2
2014-09-23,Bundesliga,Bayern Munich,Paderborn 07,4–0
2014-09-23,Bundesliga,Werder Bremen,Schalke 04,0–3
2014-09-23,Bundesliga,Hoffenheim,Freiburg,3–3
2014-09-24,Bundesliga,Hertha BSC,Wolfsburg,1–0
2014-09-24,Bundesliga,Leverkusen,Augsburg,1–0
2014-09-24,Bundesliga,Dortmund,Stuttgart,2–2
2014-09-24,Bundesliga,Gladbach,Hamburger SV,1–0
2014-09-24,Bundesliga,Hannover 96,Köln,1–0
2014-09-26,Bundesliga,Mainz 05,Hoffenheim,0–0
2014-09-27,Bundesliga,Köln,Bayern Munich,0–2
2014-09-27,Bundesliga,Schalke 04,Dortmund,2–1
2014-09-27,Bundesliga,Paderborn 07,Gladbach,1–2
2014-09-27,Bundesliga,Freiburg,Leverkusen,0–0
2014-09-27,Bundesliga,Stuttgart,Hannover 96,1–0
2014-09-27,Bundesliga,Wolfsburg,Werder Bremen,2–1
2014-09-28,Bundesliga,Augsburg,Hertha BSC,1–0
2014-09-28,Bundesliga,Hamburger SV,Eint Frankfurt,1–2
2014-10-03,Bundesliga,Hertha BSC,Stuttgart,3–2
2014-10-04,Bundesliga,Werder Bremen,Freiburg,1–1
2014-10-04,Bundesliga,Hoffenheim,Schalke 04,2–1
2014-10-04,Bundesliga,Bayern Munich,Hannover 96,4–0
2014-10-04,Bundesliga,Leverkusen,Paderborn 07,2–2
2014-10-04,Bundesliga,Dortmund,Hamburger SV,0–1
2014-10-04,Bundesliga,Eint Frankfurt,Köln,3–2
2014-10-05,Bundesliga,Wolfsburg,Augsburg,1–0
2014-10-05,Bundesliga,Gladbach,Mainz 05,1–1
2014-10-18,Bundesliga,Köln,Dortmund,2–1
2014-10-18,Bundesliga,Bayern Munich,Werder Bremen,6–0
2014-10-18,Bundesliga,Hannover 96,Gladbach,0–3
2014-10-18,Bundesliga,Mainz 05,Augsburg,2–1
2014-10-18,Bundesliga,Stuttgart,Leverkusen,3–3
2014-10-18,Bundesliga,Freiburg,Wolfsburg,1–2
2014-10-18,Bundesliga,Schalke 04,Hertha BSC,2–0
2014-10-19,Bundesliga,Hamburger SV,Hoffenheim,1–1
2014-10-19,Bundesliga,Paderborn 07,Eint Frankfurt,3–1
2014-10-24,Bundesliga,Werder Bremen,Köln,0–1
2014-10-25,Bundesliga,Hoffenheim,Paderborn 07,1–0
2014-10-25,Bundesliga,Dortmund,Hannover 96,0–1
2014-10-25,Bundesliga,Hertha BSC,Hamburger SV,3–0
2014-10-25,Bundesliga,Augsburg,Freiburg,2–0
2014-10-25,Bundesliga,Eint Frankfurt,Stuttgart,4–5
2014-10-25,Bundesliga,Leverkusen,Schalke 04,1–0
2014-10-26,Bundesliga,Wolfsburg,Mainz 05,3–0
2014-10-26,Bundesliga,Gladbach,Bayern Munich,0–0
2014-10-31,Bundesliga,Schalke 04,Augsburg,1–0
2014-11-01,Bundesliga,Stuttgart,Wolfsburg,0–4
2014-11-01,Bundesliga,Mainz 05,Werder Bremen,1–2
2014-11-01,Bundesliga,Hannover 96,Eint Frankfurt,1–0
2014-11-01,Bundesliga,Hamburger SV,Leverkusen,1–0
2014-11-01,Bundesliga,Bayern Munich,Dortmund,2–1
2014-11-02,Bundesliga,Gladbach,Hoffenheim,3–1
2014-11-02,Bundesliga,Köln,Freiburg,0–1
2014-11-02,Bundesliga,Paderborn 07,Hertha BSC,3–1
2014-11-07,Bundesliga,Hertha BSC,Hannover 96,0–2
2014-11-08,Bundesliga,Freiburg,Schalke 04,2–0
2014-11-08,Bundesliga,Leverkusen,Mainz 05,0–0
2014-11-08,Bundesliga,Hoffenheim,Köln,3–4
2014-11-08,Bundesliga,Augsburg,Paderborn 07,3–0
2014-11-08,Bundesliga,Eint Frankfurt,Bayern Munich,0–4
2014-11-08,Bundesliga,Werder Bremen,Stuttgart,2–0
2014-11-09,Bundesliga,Wolfsburg,Hamburger SV,2–0
2014-11-09,Bundesliga,Dortmund,Gladbach,1–0
2014-11-22,Bundesliga,Hannover 96,Leverkusen,1–3
2014-11-22,Bundesliga,Schalke 04,Wolfsburg,3–2
2014-11-22,Bundesliga,Mainz 05,Freiburg,2–2
2014-11-22,Bundesliga,Gladbach,Eint Frankfurt,1–3
2014-11-22,Bundesliga,Paderborn 07,Dortmund,2–2
2014-11-22,Bundesliga,Bayern Munich,Hoffenheim,4–0
2014-11-22,Bundesliga,Köln,Hertha BSC,1–2
2014-11-23,Bundesliga,Hamburger SV,Werder Bremen,2–0
2014-11-23,Bundesliga,Stuttgart,Augsburg,0–1
2014-11-28,Bundesliga,Freiburg,Stuttgart,1–4
2014-11-29,Bundesliga,Schalke 04,Mainz 05,4–1
2014-11-29,Bundesliga,Leverkusen,Köln,5–1
2014-11-29,Bundesliga,Augsburg,Hamburger SV,3–1
2014-11-29,Bundesliga,Hertha BSC,Bayern Munich,0–1
2014-11-29,Bundesliga,Werder Bremen,Paderborn 07,4–0
2014-11-29,Bundesliga,Hoffenheim,Hannover 96,4–3
2014-11-30,Bundesliga,Wolfsburg,Gladbach,1–0
2014-11-30,Bundesliga,Eint Frankfurt,Dortmund,2–0
2014-12-05,Bundesliga,Dortmund,Hoffenheim,1–0
2014-12-06,Bundesliga,Köln,Augsburg,1–2
2014-12-06,Bundesliga,Hannover 96,Wolfsburg,1–3
2014-12-06,Bundesliga,Stuttgart,Schalke 04,0–4
2014-12-06,Bundesliga,Paderborn 07,Freiburg,1–1
