date,league,home_team,away_team,score
2001-03-10,Bundesliga,Bochum,Köln,2–3
2001-03-10,Bundesliga,Bayern Munich,Energie Cottbus,2–0
2001-03-10,Bundesliga,Eint Frankfurt,Schalke 04,0–0
2001-03-11,Bundesliga,Kaiserslautern,1860 Munich,3–2
2001-03-11,Bundesliga,Hamburger SV,Stuttgart,2–2
2001-03-16,Bundesliga,Köln,Wolfsburg,0–0
2001-03-17,Bundesliga,Energie Cottbus,Hertha BSC,3–0
2001-03-17,Bundesliga,1860 Munich,Bayern Munich,0–2
2001-03-17,Bundesliga,Dortmund,Leverkusen,1–3
2001-03-17,Bundesliga,Hansa Rostock,Bochum,2–0
2001-03-17,Bundesliga,Schalke 04,Freiburg,0–0
2001-03-17,Bundesliga,Eint Frankfurt,Hamburger SV,1–1
2001-03-18,Bundesliga,Werder Bremen,Kaiserslautern,1–2
2001-03-18,Bundesliga,Unterhaching,Stuttgart,0–0
2001-03-30,Bundesliga,Wolfsburg,Hansa Rostock,2–1
2001-03-31,Bundesliga,Hertha BSC,1860 Munich,3–0
2001-03-31,Bundesliga,Stuttgart,Köln,0–3
2001-03-31,Bundesliga,Bayern Munich,Werder Bremen,2–3
2001-03-31,Bundesliga,Hamburger SV,Unterhaching,1–1
2001-03-31,Bundesliga,Leverkusen,Schalke 04,0–3
2001-03-31,Bundesliga,Freiburg,Eint Frankfurt,5–2
2001-04-01,Bundesliga,Bochum,Energie Cottbus,1–0
2001-04-01,Bundesliga,Kaiserslautern,Dortmund,1–4
2001-04-06,Bundesliga,Energie Cottbus,Wolfsburg,0–0
2001-04-07,Bundesliga,Werder Bremen,Hertha BSC,3–1
2001-04-07,Bundesliga,Dortmund,Bayern Munich,1–1
2001-04-07,Bundesliga,Eint Frankfurt,Leverkusen,1–3
2001-04-07,Bundesliga,1860 Munich,Bochum,2–4
2001-04-07,Bundesliga,Freiburg,Hamburger SV,0–0
2001-04-07,Bundesliga,Köln,Unterhaching,1–1
2001-04-08,Bundesliga,Schalke 04,Kaiserslautern,5–1
2001-04-08,Bundesliga,Hansa Rostock,Stuttgart,1–1
2001-04-12,Bundesliga,Stuttgart,Energie Cottbus,1–0
2001-04-14,Bundesliga,Kaiserslautern,Eint Frankfurt,4–2
2001-04-14,Bundesliga,Wolfsburg,1860 Munich,0–1
2001-04-14,Bundesliga,Hertha BSC,Dortmund,1–0
2001-04-14,Bundesliga,Bochum,Werder Bremen,1–2
2001-04-14,Bundesliga,Leverkusen,Freiburg,1–3
2001-04-14,Bundesliga,Bayern Munich,Schalke 04,1–3
2001-04-15,Bundesliga,Hamburger SV,Köln,1–1
2001-04-15,Bundesliga,Unterhaching,Hansa Rostock,1–1
2001-04-20,Bundesliga,Dortmund,Bochum,5–0
2001-04-21,Bundesliga,Werder Bremen,Wolfsburg,2–3
2001-04-21,Bundesliga,Energie Cottbus,Unterhaching,1–0
2001-04-21,Bundesliga,Leverkusen,Hamburger SV,1–1
2001-04-21,Bundesliga,Hansa Rostock,Köln,2–1
2001-04-21,Bundesliga,Schalke 04,Hertha BSC,3–1
2001-04-21,Bundesliga,Eint Frankfurt,Bayern Munich,0–2
2001-04-22,Bundesliga,Freiburg,Kaiserslautern,5–2
2001-04-22,Bundesliga,1860 Munich,Stuttgart,2–1
2001-04-27,Bundesliga,Wolfsburg,Dortmund,1–1
2001-04-28,Bundesliga,Köln,Energie Cottbus,4–0
2001-04-28,Bundesliga,Stuttgart,Werder Bremen,2–1
2001-04-28,Bundesliga,Hertha BSC,Eint Frankfurt,3–0
2001-04-28,Bundesliga,Bochum,Schalke 04,1–1
2001-04-28,Bundesliga,Kaiserslautern,Leverkusen,0–1
2001-04-28,Bundesliga,Bayern Munich,Freiburg,1–0
2001-04-29,Bundesliga,Hamburger SV,Hansa Rostock,2–1
2001-04-29,Bundesliga,Unterhaching,1860 Munich,3–2
2001-05-04,Bundesliga,Dortmund,Stuttgart,0–0
2001-05-05,Bundesliga,Leverkusen,Bayern Munich,0–1
2001-05-05,Bundesliga,1860 Munich,Köln,3–1
2001-05-05,Bundesliga,Schalke 04,Wolfsburg,2–1
2001-05-05,Bundesliga,Hamburger SV,Kaiserslautern,1–1
2001-05-05,Bundesliga,Eint Frankfurt,Bochum,3–0
2001-05-05,Bundesliga,Hansa Rostock,Energie Cottbus,1–0
2001-05-06,Bundesliga,Freiburg,Hertha BSC,1–0
2001-05-06,Bundesliga,Werder Bremen,Unterhaching,0–0
2001-05-12,Bundesliga,Hansa Rostock,1860 Munich,0–0
2001-05-12,Bundesliga,Bayern Munich,Kaiserslautern,2–1
2001-05-12,Bundesliga,Wolfsburg,Eint Frankfurt,3–0
2001-05-12,Bundesliga,Bochum,Freiburg,1–3
2001-05-12,Bundesliga,Hertha BSC,Leverkusen,1–1
2001-05-12,Bundesliga,Unterhaching,Dortmund,1–4
2001-05-12,Bundesliga,Energie Cottbus,Hamburger SV,4–2
2001-05-12,Bundesliga,Köln,Werder Bremen,1–3
2001-05-12,Bundesliga,Stuttgart,Schalke 04,1–0
2001-05-19,Bundesliga,Hamburger SV,Bayern Munich,1–1
2001-05-19,Bundesliga,Leverkusen,Bochum,1–0
2001-05-19,Bundesliga,1860 Munich,Energie Cottbus,0–1
2001-05-19,Bundesliga,Schalke 04,Unterhaching,5–3
2001-05-19,Bundesliga,Dortmund,Köln,3–3
2001-05-19,Bundesliga,Freiburg,Wolfsburg,4–1
2001-05-19,Bundesliga,Kaiserslautern,Hertha BSC,0–1
2001-05-19,Bundesliga,Werder Bremen,Hansa Rostock,3–0
2001-05-19,Bundesliga,Eint Frankfurt,Stuttgart,2–1
2001-07-28,Bundesliga,Stuttgart,Köln,0–0
2001-07-28,Bundesliga,Freiburg,Werder Bremen,3–0
2001-07-28,Bundesliga,1860 Munich,Kaiserslautern,0–4
2001-07-28,Bundesliga,Gladbach,Bayern Munich,1–0
